Timestamp,IR Presence (Lane 1–4),Vehicle Count,Avg Speed (km/h),Vehicle Types Detected,Vehicle Density (%),Traffic Congestion Level
08:00:00,"[0, 0, 1, 0]",97,31.2,"10 Bikes, 90 Ambulance, 60 Fire Extinguisher",40,Low
08:01:00,"[0, 0, 1, 1]",126,48.5,"32 Ambulance, 94 Ambulance",57,Medium
08:02:00,"[1, 0, 0, 0]",61,42.0,"99 Trucks, 76 Patrol, 65 Fire Extinguisher",82,High
08:03:00,"[0, 0, 0, 0]",170,38.0,"50 Cars, 71 Patrol, 63 Fire Extinguisher",75,High
08:04:00,"[1, 0, 0, 0]",180,24.7,"17 Patrol, 93 Cars, 25 Bikes, 23 Vans",90,High
08:05:00,"[1, 1, 0, 1]",159,24.7,"16 Cars, 34 Cars, 55 Ambulance",30,Medium
08:06:00,"[0, 0, 1, 0]",175,21.7,"28 Fire Extinguisher, 57 Cars, 88 Ambulance, 15 Ambulance",89,High
08:07:00,"[1, 0, 0, 1]",145,46.0,"97 Vans, 69 Cars, 30 Trucks, 90 Vans",73,High
08:08:00,"[0, 1, 1, 1]",79,38.0,"91 Trucks, 13 Ambulance, 88 Ambulance",43,Low
08:09:00,"[0, 1, 0, 1]",93,41.2,"38 Trucks, 62 Vans, 79 Ambulance",59,Medium
08:10:00,"[1, 0, 0, 1]",145,20.6,"78 Fire Extinguisher, 22 Vans",43,Medium
08:11:00,"[1, 0, 1, 0]",163,49.1,"82 Vans, 27 Bikes, 91 Fire Extinguisher, 83 Vans",31,Medium
08:12:00,"[1, 0, 1, 0]",62,45.0,"49 Patrol, 97 Fire Extinguisher",47,Low
08:13:00,"[1, 0, 0, 0]",169,26.4,"35 Vans, 47 Ambulance, 46 Fire Extinguisher",59,Medium
08:14:00,"[1, 1, 0, 0]",118,25.5,"90 Ambulance, 52 Fire Extinguisher",71,High
08:15:00,"[1, 1, 0, 1]",51,25.5,"15 Vans, 68 Patrol",45,Low
08:16:00,"[0, 1, 1, 1]",80,29.1,"89 Fire Extinguisher, 43 Vans",33,Low
08:17:00,"[0, 1, 1, 1]",72,35.7,"76 Bikes, 81 Ambulance",67,Medium
08:18:00,"[0, 0, 1, 1]",122,33.0,"40 Vans, 83 Patrol, 73 Patrol",65,Medium
08:19:00,"[0, 0, 0, 1]",120,28.7,"70 Trucks, 57 Trucks, 75 Vans",43,Medium
08:20:00,"[1, 1, 0, 0]",134,38.4,"37 Patrol, 18 Trucks",41,Medium
08:21:00,"[0, 1, 1, 0]",110,24.2,"83 Cars, 87 Ambulance, 90 Trucks",41,Medium
08:22:00,"[1, 0, 1, 0]",120,28.8,"14 Vans, 34 Bikes",63,Medium
08:23:00,"[0, 0, 1, 0]",200,31.0,"60 Fire Extinguisher, 83 Vans, 26 Cars",57,Medium
08:24:00,"[1, 0, 0, 1]",190,33.7,"77 Bikes, 52 Trucks",46,Medium
08:25:00,"[1, 0, 1, 1]",197,43.6,"99 Cars, 30 Trucks",68,Medium
08:26:00,"[1, 0, 0, 1]",173,26.0,"62 Fire Extinguisher, 62 Trucks",33,Medium
08:27:00,"[0, 0, 0, 1]",180,35.4,"71 Patrol, 26 Trucks, 82 Patrol, 55 Trucks",36,Medium
08:28:00,"[1, 0, 1, 0]",100,37.8,"22 Ambulance, 27 Vans",72,High
08:29:00,"[1, 1, 0, 0]",178,21.4,"47 Patrol, 79 Trucks, 55 Bikes",56,Medium
08:30:00,"[0, 0, 1, 0]",122,38.2,"30 Fire Extinguisher, 73 Ambulance",43,Medium
08:31:00,"[0, 1, 0, 1]",186,25.1,"18 Vans, 64 Ambulance, 50 Fire Extinguisher, 83 Bikes",45,Medium
08:32:00,"[0, 0, 1, 0]",169,22.0,"92 Ambulance, 55 Vans, 38 Patrol",30,Medium
08:33:00,"[0, 1, 1, 0]",56,48.5,"98 Bikes, 25 Trucks, 27 Bikes, 57 Patrol",63,Medium
08:34:00,"[0, 1, 0, 1]",127,49.0,"28 Ambulance, 50 Ambulance, 18 Vans",42,Medium
08:35:00,"[1, 0, 1, 0]",199,44.3,"88 Patrol, 73 Cars, 50 Cars, 82 Patrol",55,Medium
08:36:00,"[0, 0, 1, 0]",99,29.1,"43 Ambulance, 96 Patrol, 17 Patrol",72,High
08:37:00,"[1, 1, 1, 1]",162,22.9,"82 Vans, 73 Bikes, 25 Bikes, 84 Cars",78,High
08:38:00,"[0, 1, 0, 1]",100,40.5,"57 Patrol, 22 Patrol, 44 Trucks, 10 Bikes",84,High
08:39:00,"[1, 1, 1, 0]",88,33.2,"76 Trucks, 57 Trucks",76,High
08:40:00,"[1, 0, 0, 1]",94,23.7,"68 Fire Extinguisher, 97 Fire Extinguisher, 73 Patrol, 51 Vans",33,Low
08:41:00,"[1, 1, 0, 1]",95,34.9,"13 Fire Extinguisher, 87 Cars",58,Medium
08:42:00,"[0, 0, 0, 0]",144,21.0,"38 Patrol, 67 Cars, 67 Cars",77,High
08:43:00,"[1, 0, 1, 0]",144,47.3,"33 Fire Extinguisher, 64 Trucks",42,Medium
