age,gender,education,job,experience_years,salary,hours_per_week,satisfaction_score,performance_score,department
23,Male,Bachelor,Engineer,1,42000,40,6.5,7.2,IT
45,Female,Master,Manager,20,95000,50,8.1,9.0,HR
31,Male,PhD,Researcher,7,78000,45,7.8,8.5,R&D
27,Female,Bachelor,Analyst,4,55000,42,6.9,7.5,Finance
52,Male,Master,Director,28,130000,55,9.0,9.5,Operations
34,Female,Bachelor,Designer,9,61000,40,7.2,7.8,Marketing
29,Male,Bachelor,Developer,5,67000,44,7.0,8.0,IT
41,Female,Master,HR Specialist,16,72000,38,8.5,8.2,HR
38,Male,PhD,Data Scientist,13,98000,46,8.9,9.2,R&D
24,Female,Bachelor,Accountant,2,47000,40,6.0,6.8,Finance
55,Male,Master,VP,30,145000,58,9.2,9.7,Operations
36,Female,Bachelor,Copywriter,11,58000,40,7.5,7.6,Marketing
30,Male,Bachelor,Developer,6,71000,43,7.3,8.1,IT
48,Female,PhD,Research Lead,22,112000,48,9.1,9.4,R&D
26,Male,Bachelor,Analyst,3,52000,41,6.5,7.0,Finance
33,Female,Master,Project Manager,8,84000,47,8.0,8.7,Operations
22,Male,Bachelor,Intern,0,28000,35,5.5,6.0,IT
43,Female,Master,Marketing Manager,18,91000,50,8.6,8.9,Marketing
37,Male,PhD,Scientist,12,95000,45,8.7,9.0,R&D
50,Female,Bachelor,Senior Accountant,25,82000,42,8.3,8.5,Finance
28,Male,Master,Business Analyst,4,64000,40,7.1,7.9,Finance
46,Female,Bachelor,HR Manager,21,88000,48,8.8,9.1,HR
32,Male,Bachelor,Frontend Dev,7,73000,44,7.4,8.2,IT
39,Female,Master,Product Manager,14,97000,50,8.5,9.0,Operations
25,Male,Bachelor,Junior Designer,2,43000,40,6.2,6.9,Marketing
54,Female,PhD,Chief Scientist,29,138000,52,9.3,9.8,R&D
35,Male,Master,Team Lead,10,86000,46,8.2,8.8,IT
42,Female,Bachelor,Recruiter,17,67000,40,7.9,8.0,HR
27,Male,Bachelor,Content Writer,3,44000,38,6.3,7.0,Marketing
49,Female,Master,Finance Director,24,118000,52,9.0,9.3,Finance
31,Male,PhD,ML Engineer,6,92000,45,8.1,8.9,R&D
36,Female,Bachelor,Office Manager,11,55000,40,7.0,7.4,Operations
23,Male,Bachelor,Support Engineer,1,38000,40,5.8,6.5,IT
44,Female,Master,Senior Manager,19,102000,52,8.9,9.2,HR
29,Male,Bachelor,QA Engineer,5,60000,42,7.0,7.7,IT
52,Female,PhD,Professor,27,105000,40,9.0,9.5,R&D
38,Male,Master,Operations Lead,13,89000,50,8.4,8.8,Operations
26,Female,Bachelor,Social Media Mgr,2,46000,40,6.4,7.1,Marketing
33,Male,Bachelor,BI Analyst,8,68000,43,7.5,8.0,Finance
47,Female,Master,HR Director,22,108000,50,9.1,9.4,HR
30,Male,PhD,Research Engineer,5,88000,44,8.0,8.7,R&D
41,Female,Bachelor,Senior Designer,16,74000,42,8.2,8.4,Marketing
24,Male,Bachelor,Data Analyst,2,50000,40,6.6,7.2,Finance
56,Female,Master,CEO,32,180000,60,9.5,9.9,Operations
